n,ThomasSolveP,LinAlgSolve,ThomasSolveM,Linsolve
10,0.0173461437225342,0.0020296573638916,0.0006112,0.1188181
20,0.000998258590698242,0.00196337699890137,0.0002069,0.0150771
50,0.000996828079223633,0.00598502159118652,0.0003351,0.0052799
100,0,0.0019526481628418,0.000222,0.0014974
1000,0.00199532508850098,0.0339095592498779,0.0002951,0.0685575
5000,0.0119674205780029,1.40433168411255,0.0001426,1.5458558
10000,0.0199782848358154,11.1760473251343,0.0002947,11.4978361
15000,0.0319125652313232,38.3102569580078,0.0004056,41.6706463
20000,0.0398945808410645,84.2240235805512,0.0006031,98.9143797
50000,0.110737085342407,,0.0022339,
100000,0.228358507156372,,0.0051394,
200000,0.460769414901733,,0.0136637,
